t,rain_inches,station
2026-07-24 21:35:00+00:00,0.0,KACZ
2026-07-24 22:15:00+00:00,0.0,KACZ
2026-07-24 22:35:00+00:00,0.0,KACZ
2026-07-24 23:05:00+00:00,0.0,KFBG
2026-07-24 23:08:00+00:00,0.0,KFBG
2026-07-24 23:35:00+00:00,0.0,KACZ
2026-07-24 23:44:00+00:00,0.0,KFBG
2026-07-24 23:49:00+00:00,0.0,KFBG
2026-07-24 23:55:00+00:00,0.0,KFBG
2026-07-25 00:05:00+00:00,0.0,KFBG
2026-07-25 00:15:00+00:00,0.0,KACZ
2026-07-25 00:20:00+00:00,0.0,KFBG
2026-07-25 00:30:00+00:00,0.0,KFBG
2026-07-25 00:35:00+00:00,0.0,KACZ
2026-07-25 00:40:00+00:00,0.0,KFBG
2026-07-25 00:51:00+00:00,0.0,KFBG
2026-07-25 00:55:00+00:00,0.0,KFBG
2026-07-25 01:05:00+00:00,0.0,KFBG
2026-07-25 01:10:00+00:00,0.0,KFBG
2026-07-25 01:15:00+00:00,0.0,KACZ
2026-07-25 01:20:00+00:00,0.0,KFBG
2026-07-25 01:27:00+00:00,0.0,KFBG
2026-07-25 01:32:00+00:00,0.0,KFBG
2026-07-25 01:35:00+00:00,0.0,KACZ
2026-07-25 01:47:00+00:00,0.0,KFBG
2026-07-25 01:55:00+00:00,0.0118110236220472,KFBG
2026-07-25 02:10:00+00:00,0.0,KFBG
2026-07-25 02:15:00+00:00,0.0,KACZ
2026-07-25 02:20:00+00:00,0.0,KFBG
2026-07-25 02:35:00+00:00,0.0,KFBG
2026-07-25 02:42:00+00:00,0.0,KFBG
2026-07-25 02:55:00+00:00,0.0,KFBG
2026-07-25 03:06:00+00:00,0.0,KFBG
2026-07-25 03:15:00+00:00,0.0,KACZ
2026-07-25 03:16:00+00:00,0.0,KFBG
2026-07-25 03:35:00+00:00,0.0,KACZ
2026-07-25 03:55:00+00:00,0.0,KFBG
2026-07-25 04:15:00+00:00,0.0,KACZ
2026-07-25 04:35:00+00:00,0.0,KACZ
2026-07-25 04:45:00+00:00,0.0,KFBG
2026-07-25 04:55:00+00:00,0.0,KFBG
2026-07-25 05:05:00+00:00,0.0,KFBG
2026-07-25 05:15:00+00:00,0.0,KFBG
2026-07-25 05:25:00+00:00,0.0,KFBG
2026-07-25 05:35:00+00:00,0.0,KFBG
2026-07-25 05:45:00+00:00,0.0,KFBG
2026-07-25 05:55:00+00:00,0.0,KFBG
2026-07-25 06:05:00+00:00,0.0,KFBG
2026-07-25 06:10:00+00:00,0.0,KFBG
2026-07-25 06:15:00+00:00,0.0,KACZ
2026-07-25 06:20:00+00:00,0.0,KFBG
2026-07-25 06:35:00+00:00,0.0,KACZ
2026-07-25 06:45:00+00:00,0.0,KFBG
2026-07-25 06:55:00+00:00,0.0,KFBG
2026-07-25 07:00:00+00:00,0.0,KFBG
2026-07-25 07:05:00+00:00,0.0,KFBG
2026-07-25 07:15:00+00:00,0.0,KACZ
2026-07-25 07:20:00+00:00,0.0,KFBG
2026-07-25 07:30:00+00:00,0.0,KFBG
2026-07-25 07:35:00+00:00,0.0,KACZ
2026-07-25 07:51:00+00:00,0.0,KFBG
2026-07-25 07:55:00+00:00,0.0,KFBG
2026-07-25 07:57:00+00:00,0.0,KFBG
2026-07-25 08:07:00+00:00,0.0,KFBG
2026-07-25 08:15:00+00:00,0.0,KACZ
2026-07-25 08:17:00+00:00,0.0,KFBG
2026-07-25 08:26:00+00:00,0.0,KFBG
2026-07-25 08:27:00+00:00,0.0,KFBG
2026-07-25 08:35:00+00:00,0.0,KACZ
